SubNo,Exp,Targ,Dv
1,1,1,415.5
1,1,2,398.125
1,2,1,1118.38656663895
1,2,2,1105.84950447083
2,1,1,322.125
2,1,2,305.5
2,2,1,933.348059654236
2,2,2,1023.80579710007
3,1,1,372
3,1,2,353.75
3,2,1,907.362997531891
3,2,2,911.343157291412
4,1,1,332.375
4,1,2,327.25
4,2,1,755.551815032959
4,2,2,787.210464477539
5,1,1,299.75
5,1,2,308.375
5,2,1,847.755551338196
5,2,2,895.679473876953
6,1,1,304.125
6,1,2,308.5
6,2,1,1028.24580669403
6,2,2,837.452292442322
7,1,1,395.25
7,1,2,394.5
7,2,1,931.435465812683
7,2,2,978.709936141968
8,1,1,381
8,1,2,365.75
8,2,1,770.306617021561
8,2,2,758.445739746094
9,1,1,466.5
9,1,2,459.75
9,2,1,845.641672611237
9,2,2,853.179454803467
11,1,1,856
11,1,2,882.625
11,2,1,1447.95799255371
11,2,2,1476.64347290993
12,1,1,327.5
12,1,2,323.875
12,2,1,986.187756061554
12,2,2,982.6580286026
13,1,1,289.25
13,1,2,285
13,2,1,756.032317876816
13,2,2,731.144458055496
14,1,1,312.5
14,1,2,310.75
14,2,1,1057.09359049797
14,2,2,989.043116569519
15,1,1,434.5
15,1,2,448
15,2,1,1098.11925888062
15,2,2,1086.19403839111
16,1,1,396.125
16,1,2,390
16,2,1,851.774573326111
16,2,2,867.124557495117
17,1,1,321.25
17,1,2,323.875
17,2,1,721.973270177841
17,2,2,777.428060770035
18,1,1,295.5
18,1,2,306.125
18,2,1,810.158729553223
18,2,2,799.382746219635
21,1,1,365.75
21,1,2,356
21,2,1,1001.50248408318
21,2,2,1020.75946331024
24,1,1,380
24,1,2,377.75
24,2,1,876.156747341156
24,2,2,825.250774621964
