easy_single_visual,easy_single_manual,difficult_single_visual,difficult_single_manual
415.5,1118.38656663895,398.125,1105.84950447083
322.125,933.348059654236,305.5,1023.80579710007
372,907.362997531891,353.75,911.343157291412
332.375,755.551815032959,327.25,787.210464477539
299.75,847.755551338196,308.375,895.679473876953
304.125,1028.24580669403,308.5,837.452292442322
395.25,931.435465812683,394.5,978.709936141968
381,770.306617021561,365.75,758.445739746094
466.5,845.641672611237,459.75,853.179454803467
856,1447.95799255371,882.625,1476.64347290993
327.5,986.187756061554,323.875,982.6580286026
289.25,756.032317876816,285,731.144458055496
312.5,1057.09359049797,310.75,989.043116569519
434.5,1098.11925888062,448,1086.19403839111
396.125,851.774573326111,390,867.124557495117
321.25,721.973270177841,323.875,777.428060770035
295.5,810.158729553223,306.125,799.382746219635
365.75,1001.50248408318,356,1020.75946331024
380,876.156747341156,377.75,825.250774621964
