SubNo,Exp,Targ,Dv
1,1,1,0.748148148148148
1,1,2,0.657407407407407
1,2,1,0.838271604938272
1,2,2,0.669753086419753
2,1,1,0.964387464387464
2,1,2,0.9002849002849
2,2,1,1
2,2,2,0.977777777777778
3,1,1,0.945454545454546
3,1,2,0.811363636363636
3,2,1,0.947089947089947
3,2,2,0.58994708994709
4,1,1,0.959096459096459
4,1,2,0.842185592185592
4,2,1,1
4,2,2,0.849206349206349
5,1,1,0.958485958485959
5,1,2,0.933455433455433
5,2,1,1
5,2,2,0.880952380952381
6,1,1,0.945868945868946
6,1,2,0.738474488474488
6,2,1,1
6,2,2,0.637037037037037
8,1,1,0.990740740740741
8,1,2,0.892551892551892
8,2,1,0.981481481481482
8,2,2,0.815343915343915
9,1,1,0.939506172839506
9,1,2,0.915740740740741
9,2,1,0.981481481481482
9,2,2,0.806878306878307
11,1,1,0.881481481481481
11,1,2,0.64973544973545
11,2,1,0.787037037037037
11,2,2,0.555555555555556
12,1,1,0.892536475869809
12,1,2,0.761527978194645
12,2,1,0.962962962962963
12,2,2,0.740740740740741
13,1,1,0.901098901098901
13,1,2,0.752035002035002
13,2,1,0.986111111111111
13,2,2,0.91468253968254
14,1,1,0.919472502805836
14,1,2,0.816273849607183
14,2,1,0.981481481481482
14,2,2,0.825925925925926
15,1,1,0.836868686868687
15,1,2,0.826262626262626
15,2,1,1
15,2,2,0.844444444444444
16,1,1,0.89957264957265
16,1,2,0.775252525252525
16,2,1,0.925925925925926
16,2,2,0.681481481481481
17,1,1,0.984126984126984
17,1,2,0.960846560846561
17,2,1,0.984126984126984
17,2,2,0.888888888888889
18,1,1,0.945868945868946
18,1,2,0.839290339290339
18,2,1,0.984126984126984
18,2,2,0.892857142857143
21,1,1,0.972092722092722
21,1,2,0.884615384615385
21,2,1,0.962962962962963
21,2,2,0.807407407407407
24,1,1,0.932659932659933
24,1,2,0.815656565656566
24,2,1,0.984126984126984
24,2,2,0.738095238095238
