SubNo,Exp,Targ,Dv
1,1,1,229
1,1,2,267.5
1,2,1,770.017147064209
1,2,2,821.583986282349
2,1,1,237
2,1,2,232
2,2,1,708.41383934021
2,2,2,863.420486450195
3,1,1,384.5
3,1,2,410
3,2,1,701.340317726135
3,2,2,694.082021713257
4,1,1,204.5
4,1,2,202.5
4,2,1,737.165927886963
4,2,2,684.765934944153
5,1,1,204
5,1,2,199
5,2,1,838.228940963745
5,2,2,810.527443885803
6,1,1,217
6,1,2,223.5
6,2,1,755.241513252258
6,2,2,770.383596420288
7,1,1,209
7,1,2,219.5
7,2,1,707.714080810547
7,2,2,697.213888168335
8,1,1,209
8,1,2,206
8,2,1,693.4494972229
8,2,2,716.598033905029
9,1,1,220
9,1,2,224
9,2,1,610.009551048279
9,2,2,608.090877532959
11,1,1,364.5
11,1,2,534.5
11,2,1,1002.00796127319
11,2,2,992.78712272644
12,1,1,232.5
12,1,2,227
12,2,1,817.629814147949
12,2,2,851.398587226868
13,1,1,253
13,1,2,261.5
13,2,1,561.073064804077
13,2,2,550.513029098511
14,1,1,218
14,1,2,215
14,2,1,863.743782043457
14,2,2,819.746971130371
15,1,1,198
15,1,2,206.5
15,2,1,880.931973457336
15,2,2,899.422407150269
16,1,1,230
16,1,2,222
16,2,1,826.264023780823
16,2,2,833.424091339111
17,1,1,251
17,1,2,239.5
17,2,1,682.820081710815
17,2,2,722.815036773682
18,1,1,233
18,1,2,213
18,2,1,699.99098777771
18,2,2,702.873945236206
21,1,1,201.5
21,1,2,199
21,2,1,816.531538963318
21,2,2,794.396042823792
24,1,1,198.5
24,1,2,200
24,2,1,645.328998565674
24,2,2,647.801041603088
