SubNo,Exp,Targ,Dv
1,1,1,0.373702686202686
1,1,2,0.414742664742665
1,2,1,0.953102453102453
1,2,2,0.965174531351002
2,1,1,0.44496114996115
2,1,2,0.586533990700657
2,2,1,0.769360269360269
2,2,2,0.738007054673721
3,1,1,0.798097643097643
3,1,2,0.725859331586886
3,2,1,0.65359477124183
3,2,2,0.701298701298701
4,1,1,0.436749407822205
4,1,2,0.527933951895305
4,2,1,0.605555555555556
4,2,2,0.646173469387755
5,1,1,0.471509971509972
5,1,2,0.526384129971423
5,2,1,0.588235294117647
5,2,2,0.6281179138322
6,1,1,0.696680607600148
6,1,2,0.729137866963954
6,2,1,0.797685185185185
6,2,2,0.842532467532468
7,1,1,0.540750915750916
7,1,2,0.642151940920057
7,2,1,0.556944444444445
7,2,2,0.605555555555556
8,1,1,0.517611344239697
8,1,2,0.645466757583462
8,2,1,0.598538011695906
8,2,2,0.590463108320251
9,1,1,0.468486029889539
9,1,2,0.643370980870981
9,2,1,0.583877995642701
9,2,2,0.619347739095638
11,1,1,0.525108225108225
11,1,2,0.421560846560847
11,2,1,0.450617283950617
11,2,2,0.45379188712522
12,1,1,0.512885613223778
12,1,2,0.558062422011697
12,2,1,0.529411764705882
12,2,2,0.527472527472527
13,1,1,0.453280875503098
13,1,2,0.593043027825636
13,2,1,0.574723846653671
13,2,2,0.587301587301587
14,1,1,0.597741878959629
14,1,2,0.825028058361392
14,2,1,0.722730972730973
14,2,2,0.735615079365079
15,1,1,0.44914653784219
15,1,2,0.45297250479139
15,2,1,0.631808278867102
15,2,2,0.65952380952381
16,1,1,0.510921177587844
16,1,2,0.569241467067554
16,2,1,0.630900508351489
16,2,2,0.635198928056071
17,1,1,0.488530465949821
17,1,2,0.643169897735115
17,2,1,0.546198830409357
17,2,2,0.521008403361345
18,1,1,0.616808428644177
18,1,2,0.755179189189487
18,2,1,0.574723846653671
18,2,2,0.544270833333333
21,1,1,0.566402116402116
21,1,2,0.590392015392015
21,2,1,0.55119825708061
21,2,2,0.567765567765568
24,1,1,0.632820512820513
24,1,2,0.668089114873002
24,2,1,0.667075163398693
24,2,2,0.730341087483945
