SubNo,Exp,Targ,Dv
1,1,1,0.331816620879121
1,1,2,0.296130952380952
1,2,1,0.546807359307359
1,2,2,0.457382953181273
2,1,1,0.338321678321678
2,1,2,0.411379419191919
2,2,1,0.65959595959596
2,2,2,0.530505952380952
3,1,1,0.669734848484848
3,1,2,0.636349428435342
3,2,1,0.867647058823529
3,2,2,0.818181818181818
4,1,1,0.321029202279202
4,1,2,0.804865136876006
4,2,1,0.904276315789474
4,2,2,0.868353174603175
5,1,1,0.252314814814815
5,1,2,0.256516304454284
5,2,1,0.904411764705882
5,2,2,0.898148148148148
6,1,1,0.418640706356224
6,1,2,0.654030100334448
6,2,1,0.730729166666667
6,2,2,0.61156462585034
8,1,1,0.266699735449735
8,1,2,0.578657513348589
8,2,1,0.899013157894737
8,2,2,0.889880952380952
9,1,1,0.326754385964912
9,1,2,0.558487866300366
9,2,1,0.911764705882353
9,2,2,0.890873015873016
11,1,1,0.31663961038961
11,1,2,0.388839285714286
11,2,1,0.559722222222222
11,2,2,0.403373015873016
12,1,1,0.321737659482225
12,1,2,0.657730939048874
12,2,1,0.944444444444445
12,2,2,0.916666666666667
13,1,1,0.30778897028897
13,1,2,0.416411713286713
13,2,1,0.956699346405229
13,2,2,0.96078431372549
14,1,1,0.421568906669526
14,1,2,0.383712121212121
14,2,1,0.805113636363636
14,2,2,0.708843537414966
15,1,1,0.23866847826087
15,1,2,0.260302410437859
15,2,1,0.900326797385621
15,2,2,0.876388888888889
16,1,1,0.329644892144892
16,1,2,0.688682603628256
16,2,1,0.880882352941176
16,2,2,0.858474858474858
17,1,1,0.309408602150538
17,1,2,0.608154879540749
17,2,1,0.94375
17,2,2,0.953968253968254
18,1,1,0.372955066270284
18,1,2,0.479851385504275
18,2,1,0.924342105263158
18,2,2,0.916666666666667
21,1,1,0.533630952380952
21,1,2,0.832832792207792
21,2,1,0.963235294117647
21,2,2,0.948717948717949
24,1,1,0.4725
24,1,2,0.638481267507003
24,2,1,0.845128676470588
24,2,2,0.788961038961039
