SubNo,Exp,Targ,Dv
1,1,1,941.5
1,1,2,858.5
1,2,1,784.425020214653
1,2,2,825.693964957364
2,1,1,577
2,1,2,667
2,2,1,733.454942699345
2,2,2,759.500980377356
3,1,1,681
3,1,2,733
3,2,1,667.546033855293
3,2,2,725.81219673125
4,1,1,552
4,1,2,622.5
4,2,1,634.3610286675
4,2,2,667.595148088159
5,1,1,607.5
5,1,2,644
5,2,1,716.186046600616
5,2,2,833.124518393372
6,1,1,601
6,1,2,628
6,2,1,699.72300529648
6,2,2,742.351531982058
7,1,1,707.5
7,1,2,747
7,2,1,683.713912966528
7,2,2,808.750510213921
8,1,1,545.5
8,1,2,598
8,2,1,733.470082282981
8,2,2,733.177900311845
9,1,1,720
9,1,2,726
9,2,1,701.34496689208
9,2,2,809.031486509187
11,1,1,760
11,1,2,784.5
11,2,1,867.151975630102
11,2,2,908.68186951033
12,1,1,660.5
12,1,2,807.5
12,2,1,725.09896755125
12,2,2,808.673977849766
13,1,1,539
13,1,2,557
13,2,1,649.701833726929
13,2,2,691.280007366633
14,1,1,591
14,1,2,610
14,2,1,800.027847291348
14,2,2,900.632977483127
15,1,1,634
15,1,2,670
15,2,1,559.746026991868
15,2,2,608.354926109297
16,1,1,592
16,1,2,645
16,2,1,767.188072208663
16,2,2,758.859992028267
17,1,1,521
17,1,2,536
17,2,1,617.520570755056
17,2,2,658.737659450261
18,1,1,617
18,1,2,747.5
18,2,1,616.509914396455
18,2,2,699.943065647021
21,1,1,637
21,1,2,678.5
21,2,1,691.803097729292
21,2,2,800.662994388028
24,1,1,661
24,1,2,728
24,2,1,849.671840669012
24,2,2,1075.90198516997
