easy_single_visual,easy_single_manual,difficult_single_visual,difficult_single_manual
941.5,784.425020214653,858.5,825.693964957364
577,733.454942699345,667,759.500980377356
681,667.546033855293,733,725.81219673125
552,634.3610286675,622.5,667.595148088159
607.5,716.186046600616,644,833.124518393372
601,699.72300529648,628,742.351531982058
545.5,733.470082282981,598,733.177900311845
720,701.34496689208,726,809.031486509187
760,867.151975630102,784.5,908.68186951033
660.5,725.09896755125,807.5,808.673977849766
539,649.701833726929,557,691.280007366633
591,800.027847291348,610,900.632977483127
634,559.746026991868,670,608.354926109297
592,767.188072208663,645,758.859992028267
521,617.520570755056,536,658.737659450261
617,616.509914396455,747.5,699.943065647021
637,691.803097729292,678.5,800.662994388028
661,849.671840669012,728,1091.92752837841
